Idade;Faixa idade;Gênero;Cor/raca/etnia;Estado onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Cargo Atual;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?
38;35-39;Masculino;Preta;São Paulo (SP);Sudeste;Não tenho graduação formal;;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;Menos de 1 ano
36;35-39;Masculino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);;de R$ 25.001/mês a R$ 30.000/mês;de 7 a 10 anos;de 7 a 10 anos
53;50-54;Masculino;Branca;Rio Grande do Sul (RS);Sul;Pós-graduação;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Empregado (CLT);Professor/Pesquisador;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23;22-24;Masculino;Amarela;São Paulo (SP);Sudeste;Estudante de Graduação;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 3.001/mês a R$ 4.000/mês;de 3 a 4 anos;Menos de 1 ano
31;30-34;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;de 7 a 10 anos
33;30-34;Feminino;Branca;Bahia (BA);Nordeste;Graduação/Bacharelado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Analista de Negócios/Business Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 7 a 10 anos;Menos de 1 ano
36;35-39;Masculino;Branca;Santa Catarina (SC);Sul;Mestrado;Outras Engenharias;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;Menos de 1 ano
38;35-39;Masculino;Branca;Paraná (PR);Sul;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 4.001/mês a R$ 6.000/mês;Mais de 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23;22-24;Masculino;Branca;Rio Grande do Sul (RS);Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Analista de Dados/Data Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano
27;25-29;Masculino;Branca;Pará (PA);Norte;Mestrado;Química / Física;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Mestrado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 20.001/mês a R$ 25.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30;30-34;Masculino;Parda;Rio de Janeiro (RJ);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Menos de 1 ano
26;25-29;Feminino;Branca;Paraná (PR);Sul;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de BI/BI Analyst;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
50;50-54;Feminino;Parda;São Paulo (SP);Sudeste;Mestrado;Química / Física;Servidor Público;Estatístico;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;Menos de 1 ano
23;22-24;Feminino;Branca;Minas Gerais (MG);Sudeste;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Menos de 1 ano
22;22-24;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
39;35-39;Masculino;Parda;Goiás (GO);Centro-oeste;Pós-graduação;Marketing / Publicidade / Comunicação / Jornalismo;Empregado (CLT);Analista de BI/BI Analyst;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34;30-34;Feminino;Branca;Pernambuco (PE);Nordeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;de 1 a 2 anos
29;25-29;Masculino;Preta;Distrito Federal (DF);Centro-oeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analytics Engineer;de R$ 8.001/mês a R$ 12.000/mês;de 7 a 10 anos;de 1 a 2 anos
25;25-29;Feminino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outra opção;Empregado (CLT);Outra Opção;de R$ 3.001/mês a R$ 4.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26;25-29;Feminino;Branca;Paraná (PR);Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano
27;25-29;Masculino;Preta;Pernambuco (PE);Nordeste;Graduação/Bacharelado;Outras Engenharias;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 20.001/mês a R$ 25.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27;25-29;Masculino;Branca;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Cientista de Dados/Data Scientist;de R$ 3.001/mês a R$ 4.000/mês;Menos de 1 ano;de 1 a 2 anos
24;22-24;Masculino;Branca;São Paulo (SP);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Analista de BI/BI Analyst;de R$ 2.001/mês a R$ 3.000/mês;de 1 a 2 anos;de 1 a 2 anos
22;22-24;Masculino;Branca;Minas Gerais (MG);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Analista de Dados/Data Analyst;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Menos de 1 ano
29;25-29;Masculino;Preta;Espírito Santo (ES);Sudeste;Mestrado;Outras Engenharias;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32;30-34;Masculino;Branca;Rio Grande do Sul (RS);Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Mais de 10 anos
38;35-39;Feminino;Branca;Espírito Santo (ES);Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Outra Opção;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;de 1 a 2 anos
62;55+;Masculino;Parda;São Paulo (SP);Sudeste;Não tenho graduação formal;;Desempregado e não estou buscando recolocação;;;;
27;25-29;Masculino;Branca;Paraná (PR);Sul;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Cientista de Dados/Data Scientist;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;de 7 a 10 anos
